mean_PRI,PRI_variance,PRI_pattern,mean_frequency,frequency_variance,mean_pulse_width,duty_cycle,radar_name
1800,200,staggered,3200,50,5.5,0.003,search_radar
2100,150,jittered,2800,80,6.0,0.0028,search_radar
1600,100,staggered,3500,60,4.8,0.003,search_radar
1900,180,staggered,3100,55,5.8,0.0031,search_radar
2000,170,jittered,3000,70,5.6,0.0028,search_radar
1700,120,staggered,3300,65,5.0,0.0029,search_radar
1850,190,jittered,3250,58,5.7,0.003,search_radar
1950,160,staggered,2900,75,5.9,0.0029,search_radar
1750,110,jittered,3400,62,5.2,0.003,search_radar
2050,175,staggered,3050,68,5.4,0.0028,search_radar
300,20,constant,9500,30,0.8,0.0026,fire_control_radar
250,15,constant,10500,25,0.6,0.0024,fire_control_radar
400,30,constant,9000,40,1.0,0.0025,fire_control_radar
350,25,constant,9800,35,0.9,0.0026,fire_control_radar
280,18,constant,10200,28,0.7,0.0025,fire_control_radar
320,22,constant,9300,32,0.85,0.0027,fire_control_radar
310,21,constant,9600,31,0.82,0.0026,fire_control_radar
290,19,constant,10100,27,0.75,0.0025,fire_control_radar
700,10,constant,8500,20,1.5,0.0021,tracking_radar
600,8,constant,7800,15,1.2,0.002,tracking_radar
800,12,constant,9000,18,1.8,0.0022,tracking_radar
750,11,constant,8700,22,1.6,0.0021,tracking_radar
650,9,constant,8000,17,1.3,0.002,tracking_radar
780,13,constant,8800,19,1.7,0.0022,tracking_radar
720,10,constant,8600,21,1.55,0.0021,tracking_radar
680,9,constant,8200,16,1.35,0.002,tracking_radar
4500,300,staggered,3000,100,8.0,0.0018,weather_radar
5000,350,jittered,2800,120,9.5,0.0019,weather_radar
4200,250,staggered,3200,90,7.5,0.0017,weather_radar
4700,320,staggered,3100,110,8.5,0.0018,weather_radar
4800,330,jittered,2900,115,9.0,0.0019,weather_radar
4400,280,staggered,3150,95,7.8,0.0017,weather_radar
4600,310,jittered,3050,105,8.2,0.0018,weather_radar
4900,340,staggered,2850,118,9.2,0.0019,weather_radar
1000,80,constant,1200,40,3.0,0.003,air_traffic_control
900,70,constant,1100,35,2.8,0.0031,air_traffic_control
1100,90,constant,1300,45,3.2,0.0029,air_traffic_control
1050,85,constant,1250,42,3.1,0.003,air_traffic_control
950,75,constant,1150,38,2.9,0.0031,air_traffic_control
1080,88,constant,1280,43,3.15,0.0029,air_traffic_control
1020,82,constant,1220,41,3.05,0.003,air_traffic_control
980,78,constant,1180,37,2.95,0.0031,air_traffic_control
1500,120,staggered,5000,70,4.5,0.003,maritime_radar
1400,110,staggered,4800,65,4.2,0.003,maritime_radar
1600,130,jittered,5200,75,4.8,0.0031,maritime_radar
1550,125,staggered,5100,72,4.6,0.003,maritime_radar
1450,115,staggered,4900,68,4.3,0.003,maritime_radar
1580,128,jittered,5150,73,4.7,0.0031,maritime_radar
1520,122,staggered,5050,71,4.55,0.003,maritime_radar
1480,118,jittered,4950,67,4.35,0.003,maritime_radar
850,50,constant,8900,100,2.5,0.0023,tracking_radar
1200,95,constant,3800,55,3.5,0.0029,search_radar
500,35,constant,9200,45,1.1,0.0026,fire_control_radar
3800,280,staggered,3100,95,7.2,0.0018,weather_radar
1050,85,constant,1400,48,3.1,0.003,air_traffic_control
1550,125,jittered,4700,68,4.4,0.003,maritime_radar
1900,180,staggered,3200,60,5.7,0.003,search_radar
350,25,constant,9500,32,0.88,0.0026,fire_control_radar
750,11,constant,8400,20,1.58,0.0021,tracking_radar
4600,310,staggered,3000,105,8.1,0.0018,weather_radar
1000,80,constant,1250,42,3.0,0.003,air_traffic_control
1500,120,staggered,5050,71,4.5,0.003,maritime_radar
